#Label	#Number	She	Rhyme	1 kai	2 kai	3 kai	4 kai	1 he	2 he	3 he	4 he	Tone
黠	186	13	61	-	ɛrt	-	-	-	wɛrt	-	-	4
鎋	187	13	60	-	art	-	-	-	wart	-	-	4
屑	188	13	64	-	-	-	ɛt	-	-	-	wɛt	4
薛	189	13	63	-	-	iat	jiat	-	wiat	wiat	jwiat	4
藥	190	8	30	-	*ɨaăk	ɨaăk	ɨaăk	-	-	uaăk	-	4
鐸	191	8	29	aăk	-	-	-	waăk	-	-	-	4
陌	192	10	39	-	ark	iajk	-	-	wark	wiajk	-	4
麥	193	10	40	-	ɛrjk	-	-	-	wɛrjk	-	-	4
昔	194	10	41	-	-	iajk	jiajk	-	-	-	jwiajk	4
錫	195	10	42	-	-	-	ɛjk	-	-	-	wɛjk	4
職	196	9	34	-	ik	ik	jik	-	wik	wik	-	4
德	197	9	33	ǝk	-	-	-	wǝk	-	-	-	4
緝	198	16	95	-	ip	ip	jip	-	-	-	-	4
合	199	15	86	ǝp	*ǝp	*ǝp	-	-	-	-	-	4
盍	200	15	87	ap	-	-	*jiap	-	-	-	-	4
葉	201	15	92	-	-	iap	jiap	-	-	-	-	4
帖	202	15	93	-	-	*iap	ɛp	-	-	-	-	4
洽	203	15	89	-	ɛrp	-	-	-	-	-	-	4
狎	204	15	88	-	arp	-	-	-	-	-	-	4
業	205	15	90	-	-	ɨap	-	-	-	-	-	4
乏	206	15	91	-	-	-	-	-	-	uap	-	4
